"targetGene","N_TFs","RSquared"
"ATF6",15,0.506282269519096
"ATF7",15,0.667688132259234
"ATF7IP",15,0.76176351602997
"ATG101",15,0.577047867086944
"ATG12",15,0.678789321779318
"ATG13",15,0.582487424242501
"ATG14",15,0.579133157972761
"ATG2A",15,0.516799063064855
"ATG2B",15,0.707768751231356
"ATG3",15,0.562874138173421
"ATG4A",10,0.28593351371209
"ATG4B",15,0.432267185607808
"ATG4C",4,0.267191293784494
"ATG4D",15,0.390102267902594
"ATG5",15,0.540548972216623
"ATG9A",15,0.715047948369437
"ATL1",15,0.297305623687273
"ATL2",15,0.521672154844821
"ATL3",15,0.524274517260001
"ATM",15,0.383220135674317
"ATN1",15,0.739166825540879
"ATOH8",15,0.530144231268868
"ATOX1",15,0.414647569769351
"ATP10A",15,0.428483886136574
"ATP10D",15,0.499027876555755
"ATP11B",15,0.510552810365324
"ATP13A1",15,0.29785349455549
"ATP13A2",14,0.318894516958636
"ATP13A3",15,0.391620470814811
"ATP1A1",15,0.497450612312614
"ATP1B3",15,0.632867347647547
"ATP2A1",15,0.318871257743138
"ATP2A2",15,0.453729235080718
"ATP2A3",15,0.600792730028325
"ATP2B1",15,0.562594599715405
"ATP2B4",15,0.638398855920554
"ATP2C1",15,0.506289795493619
"ATP5F1A",15,0.512914956586212
"ATP5F1B",15,0.648674528576562
"ATP5F1C",15,0.441472946105135
"ATP5F1D",15,0.635467772297036
"ATP5F1E",15,0.553686624627634
"ATP5IF1",15,0.58252019349406
"ATP5MC1",15,0.530977103148142
"ATP5MC2",15,0.494495251882034
"ATP5MC3",15,0.458921312839185
"ATP5MD",15,0.475886775356644
"ATP5ME",15,0.337942105358251
"ATP5MF",15,0.438209565210925
"ATP5MG",15,0.533598401803462
"ATP5MPL",15,0.597734947017292
"ATP5PB",15,0.733230915008636
"ATP5PF",15,0.541472474359163
"ATP5PO",15,0.571543690321674
"ATP5S",15,0.297385705676375
"ATP6AP1",15,0.755860231578929
"ATP6AP2",15,0.356448899792818
"ATP6V0A1",15,0.581069961283225
"ATP6V0B",15,0.723398671245822
"ATP6V0C",15,0.561865192440161
"ATP6V0D1",15,0.575607738726937
"ATP6V0E1",15,0.675479024653767
"ATP6V0E2",15,0.445003253447531
"ATP6V1A",15,0.689450715347274
"ATP6V1B1",15,0.62252433296735
"ATP6V1B2",15,0.358796102294922
"ATP6V1C1",15,0.726336160053957
"ATP6V1C2",14,0.650415964482868
"ATP6V1D",15,0.405137717367824
"ATP6V1E1",15,0.690008361418985
"ATP6V1F",15,0.479598754026558
"ATP6V1G1",15,0.527171507055905
"ATP7A",15,0.568440984902197
"ATP7B",15,0.68180538569418
"ATP8B2",15,0.873438527070724
"ATP8B4",15,0.750427053063239
"ATP9A",15,0.707226962642887
"ATP9B",15,0.395561936661763
"ATPAF1",15,0.555954587976432
"ATPAF2",15,0.316608137491273
"ATR",15,0.483603492722527
"ATRAID",15,0.688359792131667
"ATRIP",15,0.381006357002926
"ATRN",13,0.349575810283328
"ATRNL1",15,0.329378602710182
"ATRX",15,0.82108096390646
"ATXN1",15,0.709215610378613
"ATXN10",15,0.576123123134421
"ATXN1L",15,0.770518504937363
"ATXN2",15,0.455211945255249
"ATXN2L",15,0.696628394972301
"ATXN3",15,0.435191983025844
"ATXN7",15,0.771894167594112
"ATXN7L1",15,0.26623432839358
"ATXN7L3",15,0.783171926118565
"AUH",15,0.262649714192359
"AUNIP",15,0.581869145912954
"AUP1",15,0.62238707692466
"AURKA",15,0.643802752078662
"AURKAIP1",15,0.816828957757028
"AURKB",15,0.789972048335341
"AVEN",15,0.389363857550515
"AVL9",15,0.445997387957449
"AVPI1",15,0.600358584420912
"AXIN1",15,0.475196852823559
"AXL",15,0.830187335594852
"AZI2",15,0.629323826026272
"AZIN1",15,0.81073151965095
"B2M",15,0.685591353117653
"B3GALNT1",15,0.605919648730703
"B3GALNT2",15,0.256819196758297
"B3GALT5",7,0.266923043842019
"B3GAT3",15,0.538050206565955
"B3GNT2",15,0.324363244463898
"B3GNT5",15,0.285806097747063
"B3GNT7",15,0.391708089476197
"B3GNT9",15,0.324590116737376
"B4GALNT2",15,0.274118578356218
"B4GALT1",15,0.643993345180541
"B4GALT3",15,0.779596332401266
"B4GALT4",15,0.335251418739416
"B4GALT5",11,0.375839564397679
"B4GALT6",15,0.484650153311972
"B4GALT7",15,0.657250381434669
"B4GAT1",15,0.354961444772461
"B9D2",15,0.570007488876316
"BAALC",15,0.643715535142986
"BABAM1",15,0.64269361792623
"BACE1",15,0.760915080793432
"BACE2",15,0.418928257756517
"BACH1",15,0.659878876384735
"BACH2",15,0.430208478359062
"BAD",15,0.65446377994844
"BAG2",15,0.520905968618322
"BAG3",15,0.312794163044859
"BAG4",15,0.390963640301988
"BAG5",15,0.594744524097149
"BAHCC1",15,0.637967366299949
"BAHD1",15,0.272605521041799
"BAK1",15,0.408410501876204
"BAMBI",15,0.500491097383052
"BANF1",15,0.507842026795125
"BANP",15,0.769052461450161
"BAP1",15,0.722591064206684
"BARD1",15,0.386541970729198
"BARX2",15,0.41330652464904
"BASP1",15,0.484795591164362
"BATF",15,0.588770972990259
"BATF2",15,0.609500121473702
"BATF3",15,0.252593638908739
"BAX",15,0.41306910232102
"BAZ1A",15,0.462719448265167
"BAZ1B",15,0.65385598216364
"BAZ2A",15,0.820031677194175
"BAZ2B",15,0.604636498893322
"BBC3",15,0.270891392872222
"BBOF1",15,0.403390833728625
"BBOX1",15,0.337524150126065
"BBS12",15,0.449682065231241
"BBS2",15,0.27742823183637
"BBS4",15,0.306578165410971
"BBS5",15,0.373235993255433
"BBS9",15,0.255271302386008
"BBX",15,0.594402449085697
"BCAM",15,0.596302641960844
"BCAP29",15,0.677837935241285
"BCAP31",15,0.518476206806279
"BCAR1",15,0.262207968363208
"BCAR3",15,0.562963201325267
"BCAT2",15,0.369973354119058
"BCCIP",15,0.485295955036603
"BCKDHA",15,0.430372532030092
"BCKDHB",15,0.250703506850784
"BCKDK",15,0.363988809988135
